"","X","word","n","sentiment"
"279",1431,"confident",6,"positive"
"280",1434,"convenient",6,"positive"
"281",1445,"disobedience",6,"negative"
"282",1448,"drunk",6,"negative"
"283",1450,"effectual",6,"positive"
"284",1456,"err",6,"negative"
"285",1460,"favour",6,"positive"
"286",1461,"fearful",6,"negative"
"287",1474,"guilty",6,"negative"
"288",1475,"happy",6,"positive"
"289",1477,"harm",6,"negative"
"290",1478,"haste",6,"negative"
"291",1498,"loss",6,"negative"
"292",1501,"mad",6,"negative"
"293",1505,"malice",6,"negative"
"294",1506,"marvellous",6,"positive"
"295",1509,"merciful",6,"positive"
"296",1512,"mourn",6,"negative"
"297",1513,"murderer",6,"negative"
"298",1521,"perfectly",6,"positive"
"299",1527,"praising",6,"positive"
"300",1531,"proud",6,"positive"
"301",1540,"reverence",6,"positive"
"302",1541,"reviled",6,"negative"
"303",1548,"saint",6,"positive"
"304",1555,"shake",6,"negative"
"305",1558,"sincerity",6,"positive"
"306",1560,"snare",6,"negative"
"307",1566,"sweet",6,"positive"
"308",1572,"tolerable",6,"positive"
"309",1574,"transgression",6,"negative"
"310",1580,"unprofitable",6,"negative"
"311",1583,"victory",6,"positive"
"312",1586,"warned",6,"negative"
"313",1591,"willingly",6,"positive"
"314",1593,"wound",6,"negative"
"315",1596,"zeal",6,"positive"
"316",1597,"zealous",6,"negative"
"317",1602,"affection",5,"positive"
"318",1604,"anger",5,"negative"
"319",1612,"assurance",5,"positive"
"320",1613,"astray",5,"negative"
"321",1619,"barren",5,"negative"
"322",1633,"brotherly",5,"positive"
"323",1653,"cursed",5,"negative"
"324",1655,"deaf",5,"negative"
"325",1658,"deceit",5,"negative"
"326",1661,"desirous",5,"positive"
"327",1662,"desolation",5,"negative"
"328",1669,"disputed",5,"negative"
"329",1671,"distress",5,"negative"
"330",1676,"dying",5,"negative"
"331",1680,"enmity",5,"negative"
"332",1689,"fair",5,"positive"
"333",1704,"gentle",5,"positive"
"334",1715,"hardened",5,"negative"
"335",1718,"hinder",5,"negative"
"336",1723,"hypocrisy",5,"negative"
"337",1724,"idol",5,"positive"
"338",1726,"ignorance",5,"negative"
"339",1728,"incense",5,"negative"
"340",1732,"invisible",5,"negative"
"341",1733,"issue",5,"negative"
"342",1744,"lack",5,"negative"
"343",1745,"lacked",5,"negative"
"344",1767,"murder",5,"negative"
"345",1785,"perverse",5,"negative"
"346",1808,"refreshed",5,"positive"
"347",1813,"restored",5,"positive"
"348",1830,"sinful",5,"negative"
"349",1832,"slaughter",5,"negative"
"350",1838,"spoil",5,"negative"
"351",1846,"suffering",5,"negative"
"352",1852,"tempest",5,"negative"
"353",1867,"vehemently",5,"negative"
"354",1888,"abomination",4,"negative"
"355",1890,"accursed",4,"negative"
"356",1914,"beautiful",4,"positive"
"357",1918,"bitterness",4,"negative"
"358",1923,"breaking",4,"negative"
"359",1924,"bright",4,"positive"
"360",1927,"burdensome",4,"negative"
"361",1958,"dark",4,"negative"
"362",1959,"deadly",4,"negative"
"363",1960,"debt",4,"negative"
"364",1965,"denying",4,"negative"
"365",1969,"diligent",4,"positive"
"366",1973,"displeased",4,"negative"
"367",1974,"divine",4,"positive"
"368",1995,"faithless",4,"negative"
"369",1996,"falsely",4,"negative"
"370",1997,"famine",4,"negative"
"371",2002,"fierce",4,"negative"
"372",2010,"forbidding",4,"negative"
"373",2022,"goodly",4,"positive"
"374",2040,"hot",4,"positive"
"375",2042,"humility",4,"positive"
"376",2044,"impotent",4,"negative"
"377",2051,"jealousy",4,"negative"
"378",2059,"knock",4,"negative"
"379",2067,"liars",4,"negative"
"380",2077,"majesty",4,"positive"
"381",2085,"mightily",4,"positive"
"382",2091,"neglect",4,"negative"
"383",2093,"noble",4,"positive"
"384",2101,"patiently",4,"positive"
"385",2102,"perfection",4,"positive"
"386",2105,"plague",4,"negative"
"387",2106,"pleasing",4,"positive"
"388",2120,"prudent",4,"positive"
"389",2125,"purify",4,"positive"
"390",2130,"quiet",4,"positive"
"391",2135,"refuse",4,"negative"
"392",2136,"refused",4,"negative"
"393",2139,"reputation",4,"positive"
"394",2147,"safe",4,"positive"
"395",2160,"sickness",4,"negative"
"396",2166,"slow",4,"negative"
"397",2178,"suck",4,"negative"
"398",2184,"talent",4,"positive"
"399",2188,"tender",4,"positive"
"400",2199,"top",4,"positive"
"401",2212,"unruly",4,"negative"
"402",2220,"whore",4,"negative"
"403",2233,"abominable",3,"negative"
"404",2238,"admonish",3,"negative"
"405",2239,"admonition",3,"negative"
"406",2242,"advantage",3,"positive"
"407",2243,"affirm",3,"positive"
"408",2251,"anguish",3,"negative"
"409",2266,"bad",3,"negative"
"410",2268,"barbarian",3,"negative"
"411",2275,"benefit",3,"positive"
"412",2297,"calm",3,"positive"
"413",2311,"chaste",3,"positive"
"414",2322,"comely",3,"positive"
"415",2333,"confounded",3,"negative"
"416",2334,"confusion",3,"negative"
"417",2337,"contention",3,"negative"
"418",2341,"corrupted",3,"negative"
"419",2344,"creeping",3,"negative"
"420",2349,"damned",3,"negative"
"421",2354,"deceitfulness",3,"negative"
"422",2355,"deceivers",3,"negative"
"423",2365,"destitute",3,"negative"
"424",2369,"disorderly",3,"negative"
"425",2371,"dissension",3,"negative"
"426",2377,"doubtless",3,"positive"
"427",2380,"dull",3,"negative"
"428",2382,"easy",3,"positive"
"429",2384,"edify",3,"positive"
"430",2390,"enjoy",3,"positive"
"431",2402,"exalt",3,"positive"
"432",2404,"excellency",3,"positive"
"433",2405,"excuse",3,"negative"
"434",2421,"fiery",3,"positive"
"435",2429,"foul",3,"negative"
"436",2449,"grief",3,"negative"
"437",2452,"hang",3,"negative"
"438",2453,"harden",3,"negative"
"439",2454,"harmless",3,"positive"
"440",2469,"hypocrite",3,"negative"
"441",2472,"insurrection",3,"negative"
"442",2489,"lacking",3,"negative"
"443",2499,"lively",3,"positive"
"444",2522,"mock",3,"negative"
"445",2523,"mocking",3,"negative"
"446",2538,"noise",3,"negative"
"447",2551,"overthrow",3,"negative"
"448",2553,"pain",3,"negative"
"449",2556,"paradise",3,"positive"
"450",2559,"peaceable",3,"positive"
"451",2565,"perplexed",3,"negative"
"452",2580,"poverty",3,"negative"
"453",2585,"pretence",3,"negative"
"454",2587,"pride",3,"positive"
"455",2590,"proper",3,"positive"
"456",2606,"reconciliation",3,"positive"
"457",2607,"regard",3,"positive"
"458",2610,"reject",3,"negative"
"459",2611,"renewed",3,"positive"
"460",2616,"reprove",3,"negative"
"461",2619,"rightly",3,"positive"
"462",2627,"rust",3,"negative"
"463",2628,"sacrificed",3,"negative"
"464",2629,"sad",3,"negative"
"465",2639,"scorn",3,"negative"
"466",2649,"shamefully",3,"negative"
"467",2658,"sink",3,"negative"
"468",2661,"slothful",3,"negative"
"469",2663,"soft",3,"positive"
"470",2674,"steep",3,"negative"
"471",2685,"striving",3,"positive"
"472",2686,"stronger",3,"positive"
"473",2688,"struck",3,"negative"
"474",2695,"swift",3,"positive"
"475",2701,"terror",3,"negative"
"476",2711,"transgress",3,"negative"
"477",2722,"unspeakable",3,"negative"
"478",2723,"unstable",3,"negative"
"479",2727,"utterly",3,"negative"
"480",2728,"vanity",3,"negative"
"481",2729,"vile",3,"negative"
"482",2730,"violently",3,"negative"
"483",2735,"wasted",3,"negative"
"484",2737,"weary",3,"negative"
"485",2747,"wonderful",3,"positive"
"486",2757,"absence",2,"negative"
"487",2762,"admiration",2,"positive"
"488",2777,"alienated",2,"negative"
"489",2779,"amazement",2,"positive"
"490",2780,"amiss",2,"negative"
"491",2785,"appeal",2,"positive"
"492",2787,"approve",2,"positive"
"493",2799,"assuredly",2,"positive"
"494",2802,"austere",2,"negative"
"495",2817,"beckoning",2,"positive"
"496",2820,"beggar",2,"negative"
"497",2821,"begging",2,"negative"
"498",2822,"beguile",2,"negative"
"499",2829,"bewail",2,"negative"
"500",2833,"bitterly",2,"negative"
"501",2836,"blame",2,"negative"
"502",2840,"blasphemous",2,"negative"
"503",2841,"blemish",2,"negative"
"504",2843,"blow",2,"negative"
"505",2853,"bruised",2,"negative"
"506",2854,"brute",2,"negative"
"507",2876,"chaff",2,"negative"
"508",2885,"chastise",2,"negative"
"509",2888,"choke",2,"negative"
"510",2910,"concern",2,"negative"
"511",2914,"confession",2,"negative"
"512",2916,"conflict",2,"negative"
"513",2918,"confound",2,"negative"
"514",2925,"contentious",2,"negative"
"515",2927,"contradiction",2,"negative"
"516",2929,"costly",2,"negative"
"517",2941,"crooked",2,"negative"
"518",2946,"cure",2,"positive"
"519",2949,"damage",2,"negative"
"520",2952,"dawn",2,"positive"
"521",2955,"dearth",2,"negative"
"522",2957,"deceitful",2,"negative"
"523",2958,"deceiver",2,"negative"
"524",2959,"deceiving",2,"negative"
"525",2964,"delay",2,"negative"
"526",3000,"doubtful",2,"negative"
"527",3028,"enticing",2,"positive"
"528",3041,"exceed",2,"positive"
"529",3046,"expired",2,"negative"
"530",3055,"faultless",2,"positive"
"531",3056,"faults",2,"negative"
"532",3057,"feeble",2,"negative"
"533",3063,"fervently",2,"positive"
"534",3068,"filth",2,"negative"
"535",3079,"foolishly",2,"negative"
"536",3085,"forgetful",2,"negative"
"537",3089,"forsake",2,"negative"
"538",3097,"fruitful",2,"positive"
"539",3102,"gall",2,"negative"
"540",3111,"gracious",2,"positive"
"541",3113,"greedy",2,"negative"
"542",3114,"grievously",2,"negative"
"543",3115,"grind",2,"negative"
"544",3118,"gross",2,"negative"
"545",3123,"hallowed",2,"positive"
"546",3127,"hateful",2,"negative"
"547",3128,"hating",2,"negative"
"548",3135,"helped",2,"positive"
"549",3158,"infidel",2,"negative"
"550",3162,"instantly",2,"positive"
"551",3172,"jeopardy",2,"negative"
"552",3184,"joyfully",2,"positive"
"553",3189,"justly",2,"positive"
"554",3207,"lament",2,"negative"
"555",3214,"lawfully",2,"positive"
"556",3235,"lover",2,"positive"
"557",3245,"madness",2,"negative"
"558",3247,"maliciousness",2,"negative"
"559",3267,"miserable",2,"negative"
"560",3268,"mist",2,"negative"
"561",3272,"mortify",2,"negative"
"562",3298,"overshadow",2,"negative"
"563",3301,"pains",2,"negative"
"564",3305,"partiality",2,"negative"
"565",3312,"peculiar",2,"negative"
"566",3324,"pervert",2,"negative"
"567",3335,"pinnacle",2,"positive"
"568",3338,"pitiful",2,"negative"
"569",3340,"poison",2,"negative"
"570",3347,"powerful",2,"positive"
"571",3354,"preferring",2,"positive"
"572",3360,"prize",2,"positive"
"573",3370,"proving",2,"positive"
"574",3371,"provocation",2,"negative"
"575",3380,"quarrel",2,"negative"
"576",3385,"raging",2,"negative"
"577",3396,"recommended",2,"positive"
"578",3398,"reconcile",2,"positive"
"579",3400,"recover",2,"positive"
"580",3401,"redeem",2,"positive"
"581",3402,"redeeming",2,"positive"
"582",3404,"refresh",2,"positive"
"583",3425,"revenge",2,"negative"
"584",3427,"richly",2,"positive"
"585",3428,"righteously",2,"positive"
"586",3439,"rumours",2,"negative"
"587",3443,"safely",2,"positive"
"588",3450,"scarce",2,"negative"
"589",3451,"scarcely",2,"negative"
"590",3456,"seasoned",2,"positive"
"591",3465,"severity",2,"negative"
"592",3471,"shipwreck",2,"negative"
"593",3481,"sincere",2,"positive"
"594",3486,"smitten",2,"positive"
"595",3505,"spitefully",2,"negative"
"596",3506,"spoils",2,"negative"
"597",3515,"sting",2,"negative"
"598",3517,"stole",2,"negative"
"599",3523,"stricken",2,"negative"
"600",3527,"stumbled",2,"negative"
"601",3530,"subdued",2,"negative"
"602",3535,"support",2,"positive"
"603",3538,"swelling",2,"negative"
"604",3548,"taxing",2,"negative"
"605",3557,"thankful",2,"positive"
"606",3571,"toil",2,"negative"
"607",3585,"trump",2,"positive"
"608",3590,"uncertain",2,"negative"
"609",3593,"undone",2,"negative"
"610",3594,"unity",2,"positive"
"611",3595,"unlawful",2,"negative"
"612",3598,"unreasonable",2,"negative"
"613",3600,"unseemly",2,"negative"
"614",3602,"unwise",2,"negative"
"615",3604,"unworthy",2,"negative"
"616",3610,"vigilant",2,"positive"
"617",3618,"wanton",2,"negative"
"618",3620,"waste",2,"negative"
"619",3652,"wretched",2,"negative"
"620",3655,"zealously",2,"negative"
"621",3667,"abuse",1,"negative"
"622",3676,"accomplish",1,"positive"
"623",3678,"accomplishment",1,"positive"
"624",3682,"accusing",1,"negative"
"625",3693,"addicted",1,"negative"
"626",3705,"adversity",1,"negative"
"627",3708,"advocate",1,"positive"
"628",3714,"agony",1,"negative"
"629",3716,"aground",1,"negative"
"630",3776,"assault",1,"negative"
"631",3782,"assure",1,"positive"
"632",3784,"astonishment",1,"positive"
"633",3793,"attentive",1,"positive"
"634",3805,"backward",1,"negative"
"635",3817,"barbarous",1,"negative"
"636",3824,"bastards",1,"negative"
"637",3829,"beg",1,"negative"
"638",3830,"beggarly",1,"negative"
"639",3842,"benevolence",1,"positive"
"640",3845,"beset",1,"negative"
"641",3871,"bloody",1,"negative"
"642",3883,"boisterous",1,"negative"
"643",3910,"brood",1,"negative"
"644",3914,"bruise",1,"negative"
"645",3915,"bruising",1,"negative"
"646",3921,"busybody",1,"negative"
"647",3939,"cave",1,"negative"
"648",3952,"chasten",1,"negative"
"649",3953,"chastisement",1,"negative"
"650",3954,"cheerful",1,"positive"
"651",3961,"childish",1,"negative"
"652",4007,"commodious",1,"positive"
"653",4009,"commotions",1,"negative"
"654",4017,"complaints",1,"negative"
"655",4025,"condescend",1,"negative"
"656",4032,"confused",1,"negative"
"657",4042,"conspiracy",1,"negative"
"658",4050,"contemptible",1,"negative"
"659",4051,"contend",1,"negative"
"660",4054,"contentment",1,"positive"
"661",4057,"contribution",1,"positive"
"662",4058,"controversy",1,"negative"
"663",4059,"conveniently",1,"positive"
"664",4066,"cool",1,"positive"
"665",4084,"courage",1,"positive"
"666",4086,"courteous",1,"positive"
"667",4094,"crafty",1,"negative"
"668",4098,"creep",1,"negative"
"669",4099,"crept",1,"negative"
"670",4104,"crime",1,"negative"
"671",4106,"cripple",1,"negative"
"672",4108,"cruel",1,"negative"
"673",4127,"damnable",1,"negative"
"674",4129,"dangerous",1,"negative"
"675",4141,"debts",1,"negative"
"676",4144,"deceitfully",1,"negative"
"677",4151,"dedicated",1,"positive"
"678",4161,"delight",1,"positive"
"679",4162,"delusion",1,"negative"
"680",4171,"despair",1,"negative"
"681",4176,"destroyer",1,"negative"
"682",4180,"devilish",1,"negative"
"683",4202,"dishonesty",1,"negative"
"684",4209,"distinction",1,"positive"
"685",4210,"distraction",1,"negative"
"686",4211,"distressed",1,"negative"
"687",4222,"dragging",1,"negative"
"688",4235,"drunkard",1,"negative"
"689",4243,"ease",1,"positive"
"690",4244,"eased",1,"positive"
"691",4256,"eloquent",1,"positive"
"692",4271,"enjoin",1,"negative"
"693",4277,"entangle",1,"negative"
"694",4279,"entertain",1,"positive"
"695",4281,"enticed",1,"positive"
"696",4294,"errors",1,"negative"
"697",4295,"eschew",1,"negative"
"698",4308,"evildoer",1,"negative"
"699",4309,"evils",1,"negative"
"700",4314,"excel",1,"positive"
"701",4331,"extortion",1,"negative"
"702",4335,"failing",1,"negative"
"703",4337,"faithfully",1,"positive"
"704",4346,"fastest",1,"positive"
"705",4351,"fears",1,"negative"
"706",4352,"feebleminded",1,"negative"
"707",4354,"feign",1,"negative"
"708",4366,"fidelity",1,"positive"
"709",4381,"flattering",1,"positive"
"710",4390,"forbidden",1,"negative"
"711",4411,"forswear",1,"negative"
"712",4418,"fraud",1,"negative"
"713",4419,"freed",1,"positive"
"714",4420,"freedom",1,"positive"
"715",4423,"fresh",1,"positive"
"716",4428,"frustrate",1,"negative"
"717",4432,"gains",1,"positive"
"718",4433,"gainsay",1,"negative"
"719",4459,"gorgeous",1,"positive"
"720",4460,"gorgeously",1,"positive"
"721",4468,"greatness",1,"positive"
"722",4473,"grieve",1,"negative"
"723",4478,"grudge",1,"negative"
"724",4479,"grudging",1,"negative"
"725",4480,"grudgingly",1,"negative"
"726",4483,"guiltless",1,"positive"
"727",4487,"hale",1,"positive"
"728",4497,"happier",1,"positive"
"729",4503,"hastily",1,"negative"
"730",4505,"haters",1,"negative"
"731",4507,"hatred",1,"negative"
"732",4517,"heartily",1,"positive"
"733",4520,"hedge",1,"negative"
"734",4527,"helping",1,"positive"
"735",4529,"heresy",1,"negative"
"736",4549,"honesty",1,"positive"
"737",4560,"humiliation",1,"negative"
"738",4562,"hurtful",1,"negative"
"739",4578,"impediment",1,"negative"
"740",4579,"impenitent",1,"negative"
"741",4580,"implacable",1,"negative"
"742",4585,"imprisonment",1,"negative"
"743",4595,"incredible",1,"positive"
"744",4596,"indebted",1,"positive"
"745",4597,"inexcusable",1,"negative"
"746",4598,"infallible",1,"positive"
"747",4600,"inferior",1,"negative"
"748",4605,"injurious",1,"negative"
"749",4606,"inordinate",1,"negative"
"750",4608,"inspiration",1,"positive"
"751",4622,"itching",1,"negative"
"752",4632,"jealous",1,"negative"
"753",4649,"joyful",1,"positive"
"754",4652,"joyous",1,"positive"
"755",4660,"killing",1,"negative"
"756",4663,"kindly",1,"positive"
"757",4681,"laud",1,"positive"
"758",4685,"lawless",1,"negative"
"759",4700,"lewd",1,"negative"
"760",4701,"lewdness",1,"negative"
"761",4707,"lied",1,"negative"
"762",4708,"lies",1,"negative"
"763",4728,"lovely",1,"positive"
"764",4730,"lowly",1,"negative"
"765",4733,"lukewarm",1,"negative"
"766",4741,"magnificence",1,"positive"
"767",4751,"malicious",1,"negative"
"768",4771,"mastery",1,"positive"
"769",4793,"mire",1,"negative"
"770",4794,"mischief",1,"negative"
"771",4795,"miserably",1,"negative"
"772",4796,"miseries",1,"negative"
"773",4797,"misery",1,"negative"
"774",4805,"modest",1,"positive"
"775",4840,"neglected",1,"negative"
"776",4842,"negligent",1,"negative"
"777",4859,"nourishment",1,"positive"
"778",4866,"object",1,"negative"
"779",4872,"offender",1,"negative"
"780",4883,"oppose",1,"negative"
"781",4886,"oppositions",1,"negative"
"782",4887,"oppress",1,"negative"
"783",4890,"orderly",1,"positive"
"784",4901,"oversight",1,"negative"
"785",4902,"overtake",1,"positive"
"786",4903,"overtaken",1,"positive"
"787",4912,"pale",1,"negative"
"788",4922,"passion",1,"positive"
"789",4939,"peril",1,"negative"
"790",4940,"perilous",1,"negative"
"791",4943,"pernicious",1,"negative"
"792",4944,"perplexity",1,"negative"
"793",4947,"perseverance",1,"positive"
"794",4954,"pestilent",1,"negative"
